VEH_ID,DEPOT_ID,DEPOT_NM,MODEL_NUM
VH4283,M001,SUNGAI BULOH,VOLVO B7R MRT
VAC5746,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4086,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2542,M002,KAJANG,SCANIA K250 MRT
VH4215,M001,SUNGAI BULOH,VOLVO B7R MRT
VK6258,M002,KAJANG,SCANIA K250 MRT
VAJ3412,M002,KAJANG,SCANIA K250 MRT
VAH9043,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8671,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4873,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7164,M002,KAJANG,SCANIA K250 MRT
VAG4680,M002,KAJANG,SCANIA K250 MRT
VG8849,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2480,M002,KAJANG,SCANIA K250 MRT
VH2476,M002,KAJANG,SCANIA K250 MRT
VAJ2876,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6519,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ1481,M002,KAJANG,SCANIA K250 MRT
VAE7038,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ1480,M002,KAJANG,SCANIA K250 MRT
VH4920,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ2895,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2913,M002,KAJANG,SCANIA K250 MRT
VH4924,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2487,M002,KAJANG,SCANIA K250 MRT
VH4084,M002,KAJANG,SCANIA K250 MRT
VH4921,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4872,M001,SUNGAI BULOH,VOLVO B7R MRT
